Reading Age (Years),Pupil Premium
11.58333333,T
9.166666667,T
11,F
10.25,T
8.666666667,T
10.5,T
12.75,T
11,F
9.166666667,F
8.583333333,T
10.5,T
10.75,F
7.583333333,T
8.833333333,T
9.833333333,F
9.916666667,T
9.25,T
9.416666667,F
9.416666667,T
10.5,T
11.16666667,T
9.583333333,T
10.25,T
8.333333333,F
8.833333333,T
7.666666667,F
8.833333333,F
9.75,T
12.33333333,T
9.916666667,T
7.666666667,T
9.416666667,T
9.833333333,F
7.666666667,F
9.333333333,T
8.833333333,F
9.416666667,T
7,T
10.16666667,F
13.16666667,T
7.25,T
10.58333333,F
13.66666667,F
11.41666667,F
10.33333333,T
8.666666667,T
8.416666667,T
12.58333333,T
13.25,F
10.75,T
10.91666667,T
10.33333333,T
9.416666667,T
11.66666667,F
7,F
13,F
10.91666667,T
7.916666667,F
12.83333333,T
12.66666667,F
8.666666667,F
9.416666667,T
9.5,F
10.66666667,T
10.5,F
11.58333333,T
13.16666667,T
10.5,F
10.83333333,F
11.33333333,F
15.16666667,F
12.41666667,F
12.5,F
9.75,F
12.83333333,F
9.666666667,T
10,T
10.5,T
6.916666667,F
10.66666667,F
11.5,F
12.83333333,F
15.83333333,F
11.25,T
13.25,F
11.08333333,T
11.58333333,T
7.008333333,F
8.416666667,F
11,F
11.16666667,F
13.41666667,F
12.33333333,T
10.91666667,F
13.25,F
10.58333333,T
14.75,F
12.66666667,F
10.08333333,T
13.16666667,T
11.58333333,T
14.25,F
10.5,T
14.08333333,F
13.58333333,T
13.58333333,F
13.66666667,F
16.41666667,F
13.75,F
14.83333333,F
14.5,F
10.08333333,T
